product_id,event_date,event_type,severity,event_summary,evidence_id
SP0001,2024-08-16,估值波动,2,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0001_01
SP0002,2024-04-19,久期风险,3,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0002_01
SP0002,2024-10-04,信用利差走阔,2,信用利差走阔样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0002_02
SP0002,2024-10-04,久期风险,4,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0002_03
SP0003,2024-09-06,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0003_01
SP0004,2024-06-21,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0004_01
SP0004,2024-06-21,权益回撤,5,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0004_02
SP0004,2024-10-18,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0004_03
SP0005,2024-08-02,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0005_01
SP0005,2024-04-12,监管/合规提示,4,监管/合规提示样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0005_02
SP0005,2024-08-09,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0005_03
SP0005,2024-11-22,监管/合规提示,5,监管/合规提示样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0005_04
SP0006,2024-08-09,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0006_01
SP0006,2024-03-29,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0006_02
SP0006,2024-05-17,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0006_03
SP0007,2024-08-23,商品价格波动,4,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0007_01
SP0008,2024-06-21,流动性风险,5,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0008_01
SP0008,2024-09-13,汇率波动,4,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0008_02
SP0008,2024-08-30,流动性风险,4,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0008_03
SP0009,2024-07-26,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0009_01
SP0009,2024-04-19,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0009_02
SP0010,2024-12-06,流动性风险,1,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0010_01
SP0011,2024-08-23,久期风险,4,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0011_01
SP0011,2024-07-12,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0011_02
SP0013,2024-10-11,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0013_01
SP0013,2024-11-01,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0013_02
SP0014,2024-05-24,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0014_01
SP0014,2024-11-15,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0014_02
SP0015,2024-10-04,流动性风险,4,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0015_01
SP0015,2024-12-13,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0015_02
SP0016,2024-10-25,商品价格波动,4,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0016_01
SP0016,2024-03-29,商品价格波动,3,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0016_02
SP0017,2024-07-26,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0017_01
SP0020,2024-04-12,久期风险,3,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0020_01
SP0020,2024-11-22,估值波动,2,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0020_02
SP0020,2024-11-01,久期风险,2,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0020_03
SP0021,2024-05-17,权益回撤,5,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0021_01
SP0021,2024-06-21,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0021_02
SP0022,2024-03-29,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0022_01
SP0022,2024-05-24,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0022_02
SP0022,2024-09-06,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0022_03
SP0023,2024-12-13,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0023_01
SP0023,2024-07-19,监管/合规提示,4,监管/合规提示样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0023_02
SP0023,2024-11-22,监管/合规提示,3,监管/合规提示样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0023_03
SP0024,2024-08-02,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0024_01
SP0024,2024-08-16,权益回撤,5,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0024_02
SP0024,2024-10-11,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0024_03
SP0025,2025-01-03,汇率波动,4,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0025_01
SP0025,2024-08-02,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0025_02
SP0025,2024-11-29,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0025_03
SP0026,2024-05-17,汇率波动,4,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0026_01
SP0027,2024-05-17,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0027_01
SP0027,2024-09-13,久期风险,2,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0027_02
SP0027,2024-10-18,久期风险,4,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0027_03
SP0029,2024-10-11,久期风险,1,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0029_01
SP0030,2024-08-09,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0030_01
SP0031,2024-06-07,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0031_01
SP0031,2024-10-04,商品价格波动,2,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0031_02
SP0032,2024-12-13,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0032_01
SP0032,2024-09-27,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0032_02
SP0033,2024-11-15,流动性风险,3,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0033_01
SP0033,2025-01-03,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0033_02
SP0034,2024-06-14,汇率波动,4,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0034_01
SP0034,2024-04-05,商品价格波动,4,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0034_02
SP0034,2024-05-10,商品价格波动,4,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0034_03
SP0035,2024-09-27,流动性风险,5,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0035_01
SP0037,2024-10-11,流动性风险,3,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0037_01
SP0038,2024-07-19,久期风险,3,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0038_01
SP0039,2024-08-09,久期风险,3,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0039_01
SP0040,2024-11-08,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0040_01
SP0040,2024-08-16,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0040_02
SP0041,2024-08-09,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0041_01
SP0041,2024-11-15,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0041_02
SP0041,2024-06-14,监管/合规提示,4,监管/合规提示样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0041_03
SP0042,2024-08-30,流动性风险,4,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0042_01
SP0042,2024-07-05,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0042_02
SP0042,2024-08-23,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0042_03
SP0043,2025-01-03,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0043_01
SP0043,2024-10-18,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0043_02
SP0043,2024-05-17,商品价格波动,3,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0043_03
SP0044,2024-08-30,流动性风险,5,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0044_01
SP0044,2024-08-09,汇率波动,5,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0044_02
SP0045,2024-03-15,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0045_01
SP0046,2024-10-11,流动性风险,1,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0046_01
SP0047,2024-10-04,信用利差走阔,2,信用利差走阔样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0047_01
SP0048,2024-08-30,信用利差走阔,4,信用利差走阔样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0048_01
SP0048,2024-12-13,久期风险,5,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0048_02
SP0048,2024-11-15,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0048_03
SP0049,2024-11-22,商品价格波动,4,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0049_01
SP0049,2024-09-20,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0049_02
SP0049,2024-11-15,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0049_03
SP0050,2024-05-24,监管/合规提示,5,监管/合规提示样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0050_01
SP0050,2024-10-04,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0050_02
SP0050,2024-10-11,监管/合规提示,5,监管/合规提示样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0050_03
SP0050,2024-09-27,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0050_04
SP0051,2024-08-02,流动性风险,2,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0051_01
SP0051,2024-11-01,流动性风险,4,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0051_02
SP0052,2024-04-12,汇率波动,2,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0052_01
SP0052,2024-06-28,商品价格波动,3,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0052_02
SP0052,2024-04-05,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0052_03
SP0053,2024-09-27,流动性风险,3,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0053_01
SP0054,2024-08-09,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0054_01
SP0054,2024-09-27,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0054_02
SP0054,2024-11-01,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0054_03
SP0055,2024-12-06,流动性风险,2,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0055_01
SP0056,2024-11-15,信用利差走阔,4,信用利差走阔样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0056_01
SP0057,2024-11-29,估值波动,2,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0057_01
SP0057,2024-09-06,信用利差走阔,3,信用利差走阔样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0057_02
SP0058,2024-08-16,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0058_01
SP0059,2024-09-27,权益回撤,5,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0059_01
SP0059,2024-05-17,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0059_02
SP0059,2024-07-26,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0059_03
SP0060,2024-06-07,权益回撤,2,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0060_01
SP0060,2024-11-29,流动性风险,3,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0060_02
SP0060,2024-04-19,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0060_03
SP0061,2024-05-17,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0061_01
SP0061,2024-05-03,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0061_02
SP0062,2024-10-11,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0062_01
SP0062,2024-09-13,流动性风险,3,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0062_02
SP0064,2024-04-26,监管/合规提示,3,监管/合规提示样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0064_01
SP0065,2024-11-01,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0065_01
SP0066,2024-09-20,信用利差走阔,2,信用利差走阔样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0066_01
SP0067,2024-03-01,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0067_01
SP0068,2024-11-22,权益回撤,5,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0068_01
SP0068,2025-01-03,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0068_02
SP0068,2024-09-06,监管/合规提示,5,监管/合规提示样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0068_03
SP0069,2024-07-19,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0069_01
SP0069,2024-10-18,权益回撤,2,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0069_02
SP0069,2024-12-20,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0069_03
SP0070,2024-11-01,汇率波动,3,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0070_01
SP0070,2024-09-06,商品价格波动,5,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0070_02
SP0070,2024-08-30,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0070_03
SP0071,2024-11-08,流动性风险,5,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0071_01
SP0071,2024-03-08,权益回撤,5,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0071_02
SP0072,2024-06-14,久期风险,3,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0072_01
SP0072,2024-09-06,久期风险,4,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0072_02
SP0072,2024-07-05,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0072_03
SP0074,2024-04-05,估值波动,2,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0074_01
SP0075,2024-07-12,信用利差走阔,4,信用利差走阔样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0075_01
SP0075,2024-08-02,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0075_02
SP0075,2024-10-18,久期风险,4,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0075_03
SP0076,2024-05-24,商品价格波动,4,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0076_01
SP0076,2024-10-04,权益回撤,2,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0076_02
SP0076,2024-03-29,商品价格波动,2,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0076_03
SP0077,2024-06-28,权益回撤,5,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0077_01
SP0077,2024-08-30,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0077_02
SP0078,2024-07-12,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0078_01
SP0078,2024-11-15,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0078_02
SP0078,2024-07-05,流动性风险,4,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0078_03
SP0079,2024-09-13,汇率波动,3,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0079_01
SP0079,2024-05-31,汇率波动,5,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0079_02
SP0079,2024-04-12,商品价格波动,3,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0079_03
SP0080,2024-03-08,流动性风险,5,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0080_01
SP0080,2024-10-11,流动性风险,5,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0080_02
SP0081,2024-12-20,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0081_01
SP0083,2024-11-08,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0083_01
SP0083,2024-09-06,久期风险,2,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0083_02
SP0084,2024-06-28,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0084_01
SP0085,2024-10-04,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0085_01
SP0085,2024-12-20,商品价格波动,3,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0085_02
SP0086,2024-09-20,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0086_01
SP0086,2024-10-25,监管/合规提示,4,监管/合规提示样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0086_02
SP0087,2024-07-12,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0087_01
SP0087,2024-03-29,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0087_02
SP0087,2024-04-05,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0087_03
SP0088,2024-02-09,商品价格波动,4,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0088_01
SP0088,2024-02-16,商品价格波动,3,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0088_02
SP0089,2024-11-22,权益回撤,2,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0089_01
SP0089,2024-09-27,流动性风险,3,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0089_02
SP0090,2024-03-22,久期风险,2,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0090_01
SP0090,2024-11-15,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0090_02
SP0090,2024-12-13,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0090_03
SP0092,2024-06-14,信用利差走阔,3,信用利差走阔样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0092_01
SP0092,2024-12-13,估值波动,2,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0092_02
SP0092,2024-07-19,信用利差走阔,3,信用利差走阔样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0092_03
SP0093,2024-11-15,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0093_01
SP0094,2024-05-31,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0094_01
SP0094,2024-05-24,商品价格波动,2,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0094_02
SP0094,2024-05-03,商品价格波动,2,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0094_03
SP0095,2024-11-15,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0095_01
SP0095,2024-11-22,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0095_02
SP0096,2024-08-09,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0096_01
SP0096,2024-07-05,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0096_02
SP0097,2024-07-05,汇率波动,3,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0097_01
SP0097,2024-07-19,商品价格波动,4,商品价格波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0097_02
SP0098,2024-09-20,汇率波动,2,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0098_01
SP0098,2024-05-24,权益回撤,2,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0098_02
SP0099,2024-09-13,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0099_01
SP0099,2024-05-17,久期风险,4,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0099_02
SP0101,2024-12-20,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0101_01
SP0101,2024-07-19,信用利差走阔,2,信用利差走阔样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0101_02
SP0101,2024-11-01,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0101_03
SP0102,2024-11-08,久期风险,2,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0102_01
SP0102,2024-07-26,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0102_02
SP0102,2024-05-17,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0102_03
SP0103,2024-11-01,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0103_01
SP0103,2024-07-26,估值波动,3,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0103_02
SP0104,2024-11-29,估值波动,5,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0104_01
SP0105,2024-11-22,权益回撤,2,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0105_01
SP0105,2024-11-15,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0105_02
SP0105,2024-12-13,权益回撤,3,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0105_03
SP0106,2024-08-02,汇率波动,2,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0106_01
SP0106,2024-02-23,估值波动,4,估值波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0106_02
SP0106,2024-03-15,汇率波动,3,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0106_03
SP0107,2024-09-27,汇率波动,2,汇率波动样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0107_01
SP0107,2024-06-28,流动性风险,4,流动性风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0107_02
SP0108,2024-09-06,久期风险,3,久期风险样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0108_01
SP0108,2024-07-12,权益回撤,5,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0108_02
SP0108,2024-06-21,权益回撤,4,权益回撤样例事件，供投研风险摘要和证据追溯使用。,ev_product_event_SP0108_03
